#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 07 05 00 105  4.8 99.0 99.00 99.00 99.00 999 1019.0  22.9  23.7  18.7 99.0 99.00
2012 01 07 06 00 108  4.9 99.0 99.00 99.00 99.00 999 1020.0  22.5  23.6  19.0 99.0 99.00
2012 01 07 07 00 104  4.1 99.0 99.00 99.00 99.00 999 1020.0  22.6  23.6  19.2 99.0 99.00
2012 01 07 08 00 107  4.0 99.0 99.00 99.00 99.00 999 1020.0  22.7  23.6  18.7 99.0 99.00
2012 01 07 09 00 113  4.1 99.0 99.00 99.00 99.00 999 1020.0  21.9  23.6  18.8 99.0 99.00
2012 01 07 10 00  89  1.6 99.0 99.00 99.00 99.00 999 1019.0  21.8  23.6  18.6 99.0 99.00
2012 01 07 11 00  94  3.7 99.0 99.00 99.00 99.00 999 1019.0  22.5  23.6  18.8 99.0 99.00
2012 01 07 12 00  95  4.6 99.0 99.00 99.00 99.00 999 1018.0  22.0  23.6  18.9 99.0 99.00
2012 01 07 13 00 112  2.9 99.0 99.00 99.00 99.00 999 1018.0  21.8  23.6  18.6 99.0 99.00
2012 01 07 14 00 126  5.7 99.0 99.00 99.00 99.00 999 1018.0  22.4  23.6  18.2 99.0 99.00
2012 01 07 15 00 120  5.9 99.0 99.00 99.00 99.00 999 1018.0  23.0  23.6  17.6 99.0 99.00
2012 01 07 16 00 127  5.7 99.0 99.00 99.00 99.00 999 1018.0  23.0  23.6  17.3 99.0 99.00
2012 01 07 17 00 119  5.3 99.0 99.00 99.00 99.00 999 1019.0  22.9  23.6  17.3 99.0 99.00
2012 01 07 18 00 114  5.0 99.0 99.00 99.00 99.00 999 1019.0  23.1  23.6  17.2 99.0 99.00
2012 01 07 19 00 114  5.0 99.0 99.00 99.00 99.00 999 1020.0  23.3  23.6  16.5 99.0 99.00
2012 01 07 20 00 104  4.5 99.0 99.00 99.00 99.00 999 1020.0  23.3  23.6  16.0 99.0 99.00
2012 01 07 21 00 101  4.3 99.0 99.00 99.00 99.00 999 1020.0  23.3  23.6  16.5 99.0 99.00
2012 01 07 22 00 103  4.0 99.0 99.00 99.00 99.00 999 1019.0  23.2  23.7  16.4 99.0 99.00
2012 01 07 23 00 111  4.1 99.0 99.00 99.00 99.00 999 1018.0  23.2  23.8  16.6 99.0 99.00
2012 01 08 00 00 110  3.9 99.0 99.00 99.00 99.00 999 1018.0  23.2  23.8  16.6 99.0 99.00
2012 01 08 01 00 105  3.6 99.0 99.00 99.00 99.00 999 1018.0  23.1  23.8  16.3 99.0 99.00
2012 01 08 02 00 102  3.6 99.0 99.00 99.00 99.00 999 1018.0  23.2  23.8  16.4 99.0 99.00
2012 01 08 03 00 100  3.8 99.0 99.00 99.00 99.00 999 1018.0  23.1  23.7  16.8 99.0 99.00
2012 01 08 04 00  99  4.4 99.0 99.00 99.00 99.00 999 1019.0  22.9  23.7  17.5 99.0 99.00
2012 01 08 05 00 105  4.2 99.0 99.00 99.00 99.00 999 1019.0  22.9  23.7  17.5 99.0 99.00
2012 01 08 06 00 117  4.0 99.0 99.00 99.00 99.00 999 1019.0  22.9  23.7  17.5 99.0 99.00
2012 01 08 07 00 120  3.7 99.0 99.00 99.00 99.00 999 1019.0  22.9  23.6  17.2 99.0 99.00
2012 01 08 08 00 123  4.0 99.0 99.00 99.00 99.00 999 1019.0  22.9  23.6  16.4 99.0 99.00
2012 01 08 09 00 117  3.0 99.0 99.00 99.00 99.00 999 1019.0  22.9  23.6  16.1 99.0 99.00
2012 01 08 10 00 121  2.5 99.0 99.00 99.00 99.00 999 1019.0  22.9  23.6  16.4 99.0 99.00
2012 01 08 11 00 124  3.9 99.0 99.00 99.00 99.00 999 1018.0  22.9  23.6  16.1 99.0 99.00
2012 01 08 12 00 114  4.0 99.0 99.00 99.00 99.00 999 1018.0  22.8  23.6  16.0 99.0 99.00
2012 01 08 13 00  96  4.1 99.0 99.00 99.00 99.00 999 1018.0  22.7  23.6  16.1 99.0 99.00
2012 01 08 14 00  98  3.6 99.0 99.00 99.00 99.00 999 1017.0  22.6  23.6  15.3 99.0 99.00
2012 01 08 15 00 109  3.1 99.0 99.00 99.00 99.00 999 1017.0  22.6  23.6  15.1 99.0 99.00
2012 01 08 16 00 105  3.4 99.0 99.00 99.00 99.00 999 1018.0  22.6  23.6  15.8 99.0 99.00
2012 01 08 17 00  95  3.6 99.0 99.00 99.00 99.00 999 1018.0  22.6  23.6  16.3 99.0 99.00
2012 01 08 18 00  94  3.8 99.0 99.00 99.00 99.00 999 1019.0  22.8  23.6  16.2 99.0 99.00
2012 01 08 19 00 114  3.3 99.0 99.00 99.00 99.00 999 1019.0  23.2  23.6  15.4 99.0 99.00
2012 01 08 20 00  88  2.4 99.0 99.00 99.00 99.00 999 1020.0  23.1  23.6  15.3 99.0 99.00
2012 01 08 21 00  81  2.4 99.0 99.00 99.00 99.00 999 1019.0  23.0  23.7  15.2 99.0 99.00
2012 01 08 22 00  84  2.5 99.0 99.00 99.00 99.00 999 1018.0  23.0  23.8  15.4 99.0 99.00
2012 01 08 23 00  89  3.1 99.0 99.00 99.00 99.00 999 1018.0  22.9  23.9  15.9 99.0 99.00
2012 01 09 00 00  95  3.3 99.0 99.00 99.00 99.00 999 1017.0  22.9  23.9  15.8 99.0 99.00
2012 01 09 01 00 103  3.6 99.0 99.00 99.00 99.00 999 1017.0  23.0  23.9  16.0 99.0 99.00
2012 01 09 02 00 117  4.2 99.0 99.00 99.00 99.00 999 1017.0  23.1  23.8  16.6 99.0 99.00
2012 01 09 03 00 120  4.8 99.0 99.00 99.00 99.00 999 1017.0  23.0  23.7  17.1 99.0 99.00
2012 01 09 04 00 118  4.5 99.0 99.00 99.00 99.00 999 1017.0  23.0  23.7  17.6 99.0 99.00
2012 01 09 05 00  92  3.8 99.0 99.00 99.00 99.00 999 1018.0  22.9  23.7  18.1 99.0 99.00
2012 01 09 06 00  67  4.8 99.0 99.00 99.00 99.00 999 1019.0  22.7  23.7  18.6 99.0 99.00
2012 01 09 07 00  80  4.1 99.0 99.00 99.00 99.00 999 1020.0  23.0  23.6  18.4 99.0 99.00
2012 01 09 08 00  73  4.4 99.0 99.00 99.00 99.00 999 1020.0  22.9  23.6  18.7 99.0 99.00
2012 01 09 09 00  59  4.9 99.0 99.00 99.00 99.00 999 1020.0  22.7  23.6  19.1 99.0 99.00
2012 01 09 10 00  73  4.8 99.0 99.00 99.00 99.00 999 1019.0  22.8  23.6  18.7 99.0 99.00
2012 01 09 11 00  76  6.0 99.0 99.00 99.00 99.00 999 1019.0  22.9  23.6  19.0 99.0 99.00
2012 01 09 12 00  78  6.2 99.0 99.00 99.00 99.00 999 1019.0  22.8  23.6  19.1 99.0 99.00
2012 01 09 13 00  80  6.0 99.0 99.00 99.00 99.00 999 1018.0  22.8  23.6  18.8 99.0 99.00
2012 01 09 14 00  81  5.9 99.0 99.00 99.00 99.00 999 1018.0  22.8  23.6  18.8 99.0 99.00
2012 01 09 15 00  82  6.0 99.0 99.00 99.00 99.00 999 1018.0  22.8  23.6  18.6 99.0 99.00
2012 01 09 16 00  90  5.5 99.0 99.00 99.00 99.00 999 1019.0  22.9  23.6  18.7 99.0 99.00
2012 01 09 17 00  95  5.0 99.0 99.00 99.00 99.00 999 1019.0  22.9  23.6  18.4 99.0 99.00
2012 01 09 18 00  91  5.2 99.0 99.00 99.00 99.00 999 1020.0  23.3  23.6  18.3 99.0 99.00
2012 01 09 19 00  93  5.1 99.0 99.00 99.00 99.00 999 1020.0  23.5  23.6  18.0 99.0 99.00
2012 01 09 20 00  91  5.4 99.0 99.00 99.00 99.00 999 1020.0  23.1  23.6  17.9 99.0 99.00
2012 01 09 21 00  93  4.4 99.0 99.00 99.00 99.00 999 1019.0  23.2  23.7  17.4 99.0 99.00
2012 01 09 22 00 102  4.9 99.0 99.00 99.00 99.00 999 1019.0  23.3  23.7  18.3 99.0 99.00
2012 01 09 23 00 102  5.2 99.0 99.00 99.00 99.00 999 1018.0  23.3  23.7  18.1 99.0 99.00
2012 01 10 00 00  96  4.9 99.0 99.00 99.00 99.00 999 1018.0  23.2  23.8  18.4 99.0 99.00
2012 01 10 01 00  97  4.5 99.0 99.00 99.00 99.00 999 1018.0  23.2  23.8  18.0 99.0 99.00
2012 01 10 02 00  89  4.4 99.0 99.00 99.00 99.00 999 1018.0  23.3  23.8  17.8 99.0 99.00
2012 01 10 03 00  91  4.5 99.0 99.00 99.00 99.00 999 1018.0  23.2  23.7  17.8 99.0 99.00
2012 01 10 04 00  86  4.6 99.0 99.00 99.00 99.00 999 1019.0  23.2  23.7  17.9 99.0 99.00
